experiment,version,change,run_tag,wandb_run_id,state,feature_set,encoder,input_type,in_channels,epochs,learning_rate,batch_size,img_size,tta,jpeg_aug,edge_supervision,noise_features,pixel_f1,pixel_iou,pixel_auc,pixel_precision,pixel_recall,image_accuracy,image_macro_f1,image_roc_auc,best_val_f1,final_train_loss,final_val_loss,duration_min
vrp27,vR.P.27,JPEG Compression Augmentation (random Q=50-95 at training time),run01,yza7agn8,finished,ela,resnet34,ELA + JPEG Compression Aug,3,25,0.001,16,384,False,True,False,False,0.710486114025116,0.550972044467926,0.9552586891559272,0.8443847894668579,0.6132411360740662,0.879027997886952,0.8689063325483788,0.9636075876143624,0.7011035084724426,0.2334510262805407,0.4381340890439245,128.38333333333333
vrp28,vR.P.28,"Cosine Annealing LR Scheduler (T_0=10, T_mult=2, 50 epochs)",run01,z6zq3eou,finished,ela,resnet34,ELA (same as P.3),3,50,0.001,16,384,False,False,False,False,,,,,,,,,,,,0.75
vrp23,vR.P.23,Chrominance Channel Analysis (YCbCr Y/Cb/Cr input),run01,4lrf7ngh,finished,ycbcr,resnet34,YCbCr (Chrominance),3,25,0.001,16,384,False,False,False,False,0.4709226191043854,0.3079783022403717,0.845296547468012,0.4900687634944916,0.4532162845134735,0.6656101426307448,0.6563954453655197,0.7302772237365159,0.41557711362838745,0.4178654238608701,0.8667682797145176,91.16666666666667
vrp24,vR.P.24,Noiseprint Forensic Features (DnCNN-style noise residual),run01,klddtyi2,finished,noiseprint,resnet34,Noiseprint (DnCNN Residual),3,25,0.001,16,384,False,False,False,True,0.5245587229728699,0.3555266559123993,0.8830960956053904,0.6118053793907166,0.4590900540351868,0.7221341785525621,0.6938912157559094,0.7646571551536635,0.5099663138389587,0.3667872211407403,0.7260798908768372,190.4
vrp26,vR.P.26,Dual-Task: Segmentation + Classification with shared encoder,run01,upic0ise,finished,ela,resnet34,ELA (same as P.3),3,25,0.001,16,384,False,False,False,False,,,,,,,,,,,,0.7833333333333333
vrp25,vR.P.25,Edge Supervision Loss (BCE + Dice + Edge BCE with Sobel boundaries),run01,pvcf5emw,finished,ela,resnet34,ELA (same as P.3),3,25,0.001,16,384,False,False,True,False,0.7079259753227234,0.5478988885879517,0.9518425392826853,0.839232861995697,0.6121487617492676,0.8721605916534602,0.8612425669879763,0.9347190278079864,0.6562004089355469,0.6407124149712806,0.830324779788987,131.85
vrp28,vR.P.28,"Cosine Annealing LR Scheduler (T_0=10, T_mult=2, 50 epochs)",run01,bi240r5r,finished,ela,resnet34,ELA (same as P.3),3,50,0.001,16,384,False,False,False,False,0.7214751839637756,0.5643028020858765,0.957166689412022,0.8497663736343384,0.6268396973609924,0.8795562599049128,0.8704844006568144,0.945628884394856,0.6949946284294128,0.22368902943947247,0.4421380873089739,241.21666666666667
leaderboard_export,leaderboard_export,,,0vahbz3c,finished,,,,,,,,,False,False,False,False,,,,,,,,,,,,0.05
vrp26,vR.P.26,Dual-Task: Segmentation + Classification with shared encoder,run01,dcmxx875,finished,ela,resnet34,ELA (same as P.3),3,25,0.001,16,384,False,False,False,False,,,,,,,,,0.6956513524055481,0.2759723462732323,0.4871931662372149,125.25
vrp18,vR.P.18,"Compression robustness testing (no training, evaluate P.3 under recompression)",run01,dp2pb8st,finished,rgb,resnet34,rgb,3,N/A,N/A,16,384,False,False,False,False,,,,,,,,,,,,6.6
vrp16,vR.P.16,DCT spatial feature maps (AC energy / DC / HF energy),run01,jal2ioyz,finished,dct,resnet34,DCT,3,25,0.001,16,384,False,False,False,False,0.3209036588668823,0.19111688435077667,0.7777730677991825,0.3763335049152374,0.2797060012817383,0.6159535129424194,0.5677763208517521,0.620419132857295,0.2673567831516266,0.7053945102676505,1.0054764041575377,106.48333333333333
vrp17,vR.P.17,ELA + DCT fusion (6-channel input),run01,02g912cv,finished,ela+dct,resnet34,ELA+DCT,6,25,0.001,16,384,False,False,False,False,0.7302077412605286,0.5750607848167419,0.9431362992177192,0.86492520570755,0.6318008303642273,0.8705758055995774,0.8589252726909369,0.946232802225009,0.7157766222953796,0.3075923445768073,0.4451445790375544,196.96666666666667
vrp15,vR.P.15,Multi-quality ELA input (Q=75/85/95 as 3 channels),run01,upn9fy86,finished,multi_quality_ela,resnet34,multi_quality_ela,3,25,0.001,16,384,False,False,False,False,0.7329455018043518,0.5784640312194824,0.960773144744457,0.8409044146537781,0.6495530605316162,0.8753301637612255,0.8660204027773113,0.9422656868234848,0.705340564250946,0.26812729401726904,0.4480833587794445,115.76666666666667
vrp14,vR.P.14,Test-Time Augmentation (4 views: orig + hflip + vflip + hvflip),run01,z7vlo6ft,finished,rgb,resnet34,rgb,3,25,0.001,16,384,False,False,False,False,0.6387826800346375,0.4692731499671936,0.9617803280534089,0.8354945182800293,0.5170472860336304,0.8742736397253037,0.8618824265165728,0.96096457940941,0.7243364453315735,0.23813670639036572,0.4109070053046333,60.45
vrp13,vR.P.13,Combined: CBAM attention + Albumentations augmentation + 50 epochs + Focal+Dice loss,run01,u4cm2us1,finished,rgb,resnet34,rgb,3,50,0.001,16,384,False,False,False,False,0.7306649684906006,0.5756281018257141,0.9606693482577856,0.8409937620162964,0.6459267139434814,0.8737453777073428,0.8621970701872748,0.9732482912133428,0.736263632774353,0.3411195123713538,0.3237203916519136,139.16666666666666
vrp12,vR.P.12,ELA + data augmentation (Albumentations) + Focal+Dice loss,run01,l4r1ocvd,finished,ela,resnet34,ela,3,50,0.001,16,384,False,False,False,False,0.7132960557937622,0.5543590784072876,0.9545705743761608,0.8405760526657104,0.6194924712181091,0.8695192815636555,0.8584211770968425,0.9368148077875322,0.7059705257415771,0.3663858336661883,0.33998346569519905,114.55
vrp11,vR.P.11,Higher resolution (512x512) + Focal+Dice loss + gradient accumulation,run01,3b9iotnq,finished,rgb,resnet34,rgb,3,50,0.001,8,512,False,False,False,False,0.7038568258285522,0.5430394411087036,0.9486409827422893,0.8425076603889465,0.6043924689292908,0.8890649762282092,0.8829403173182252,0.9383645164723796,0.6500850319862366,0.2387121506767805,0.3940731355065545,205.1
leaderboard_export,leaderboard_export,,,9r50n584,finished,,,,,,,,,False,False,False,False,,,,,,,,,,,,0.03333333333333333
vrp302,vR.P.30.2,"Multi-quality ELA + CBAM + Progressive Unfreeze (40ep, BCE+Dice)",run01,c9tgi8mz,finished,multi_quality_ela,resnet34,multi_quality_ela,3,40,0.001,16,384,False,False,False,False,,,,,,,,,0.7001846432685852,0.20012047535278404,0.4396181740515255,19.75
vrp18,vR.P.18,"Compression robustness testing (no training, evaluate P.3 under recompression)",run01,xu8vlt3v,finished,rgb,resnet34,rgb,3,N/A,N/A,16,384,False,False,False,False,,,,,,,,,,,,50.4
vrp16,vR.P.16,DCT spatial feature maps (AC energy / DC / HF energy),run01,ygmv0ot9,finished,dct,resnet34,DCT,3,25,0.001,16,384,False,False,False,False,0.3209036588668823,0.19111688435077667,0.7777730677991825,0.3763335049152374,0.2797060012817383,0.6159535129424194,0.5677763208517521,0.620419132857295,0.2673567831516266,0.7053945102676505,1.0054764041575377,0.0
vrp302,vR.P.30.2,"Multi-quality ELA + CBAM + Progressive Unfreeze (40ep, BCE+Dice)",run01,7jv2jzmu,finished,multi_quality_ela,resnet34,multi_quality_ela,3,40,0.001,16,384,False,False,False,False,0.7719460725784302,0.6285930275917053,0.9754697867841584,0.8605486154556274,0.6998855471611023,0.9107237189646064,0.9060550043827902,0.9777961858308382,0.7344067096710205,0.12943731301452308,0.40420524632108246,96.81666666666666
vrp16,vR.P.16,DCT spatial feature maps (AC energy / DC / HF energy),run01,nciqsc1q,finished,dct,resnet34,DCT,3,25,0.001,16,384,False,False,False,False,0.3209036588668823,0.19111688435077667,0.7777730677991825,0.3763335049152374,0.2797060012817383,0.6159535129424194,0.5677763208517521,0.620419132857295,0.22503311932086945,0.6891357410841109,1.0512010449183589,0.0
